Enemie,Game,Relation
Broozer,New Super Mario Bros. Wii,ENEMY_IN
Broozer,Super Mario Party Jamboree,ENEMY_IN
Broozer,Mario & Luigi: Superstar Saga + Bowser's Minions,ENEMY_IN
Broozer,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Broozer,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Bulber,New Super Mario Bros. Wii,ENEMY_IN
Bulber,Mario Kart Tour,ENEMY_IN
Bulber,New Super Mario Bros. U / New Super Mario Bros. U Deluxe,ENEMY_IN
Bulber,Mario Kart 8 Deluxe,ENEMY_IN
Bulber,Mario Kart World,ENEMY_IN
Bull's-Eye Banzai,New Super Mario Bros. Wii,ENEMY_IN
Bull's-Eye Banzai,Super Mario Maker 2,ENEMY_IN
Bull's-Eye Bill,Super Mario Bros. 3,ENEMY_IN
Bull's-Eye Bill,New Super Mario Bros. Wii,ENEMY_IN
Bull's-Eye Bill,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,ENEMY_IN
Bull's-Eye Bill,Super Mario Maker series,ENEMY_IN
Bull's-Eye Bill,Super Mario Run,ENEMY_IN
Bull's-Eye Bill,Super Mario Bros. Wonder,ENEMY_IN
Bull's-Eye Blaster,Super Mario Bros. 3,ENEMY_IN
Bull's-Eye Blaster,New Super Mario Bros. Wii,ENEMY_IN
Bull's-Eye Blaster,Super Mario Maker series,ENEMY_IN
Bull's-Eye Blaster,Super Mario Bros. Wonder,ENEMY_IN
